ref,famille,famille_fr,texte
P03.01,P,Protection des renseignements personnels,Le projet de développement de votre produit ou service technologique comportait des activités permettant de s'assurer du respect des principes de protection de la vie privée.
P03.02,P,Protection des renseignements personnels,"Dès les premières étapes du projet et tout au long de celui-ci, vous avez cerné et analysé les risques d'atteinte à la vie privée que pouvait présenter votre produit ou service technologique."
P04.01,P,Protection des renseignements personnels,Confirmer la mise en place d’un mécanisme permettant de réaliser une évaluation des facteurs relatifs à la vie privée (ÉFVP) lorsque la Loi l’exige : 1- Évaluer la conformité du projet au regard des lois sur la protection des renseignements personnels; 2- Relever les risques du projet sur la vie privée des personnes concernées; 3- Mettre en place des stratégies et des mesures pour éviter ces risques ou les réduire efficacement; 4- Surveiller le produit ou le service technologique de ces mesures et les réviser.
P04.02,P,Protection des renseignements personnels,"Dans le cas où une ÉFVP a été jugée obligatoire, est-ce que ladite ÉFVP élaborée contient tous les éléments d'informations tel qu'éxigé par la CAI ?"
P05.01,P,Protection des renseignements personnels,Votre personnel est sensibilisé à la protection de la vie privée et aux bonnes pratiques en la matière.
P05.02,P,Protection des renseignements personnels,Vous informez l'acquéreur et les utilisateurs de votre produit ou service technologique de l'usage autorisé de votre PST ainsi que de l'existence de mesures de sécurité et de leur rôle quand à l'utilisation appropriée de celles-ci et des renseignements personnels en présence.
P06.01,P,Protection des renseignements personnels,Vous informez l'utilisateur de votre produit ou service technologique de la finalité de la collecte et de l'usage des renseignements personnels.
P06.02,P,Protection des renseignements personnels,"S'assurer que l'utilisateur a obtenu le consentement de la personne concernée concernant la collecte et l'utilisation de ses renseignements personnels. Aussi que les personnes concernées sont systématiquement informées des motifs de la collecte de leurs renseignements personnels, de l'utilisation prévue, des tiers impliqués, de leur droit de rétractation du consentement, ainsi que de leurs droits d'accès et de rectification ? Que ces informations sont présentées de manière simple, claire et compréhensible pour assurer un consentement manifeste, libre et éclairé ?"
P06.03,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant de recueillir et de consigner le consentement à la collecte des renseignements personnels de la personne concernée.
P06.04,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant de consigner l'attestation d'un utilisateur (professionnel de la santé) qu'il a bien obtenu le consentement de la personne concernée pour collecter les renseignements personnels la concernant.
P06.05,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant de recueillir et de consigner le consentement d'un utilisateur à la communication des renseignements personnels le concernant.
P06.06,P,Protection des renseignements personnels,Votre produit ou service technologique dispose d'un mécanisme permettant à l'utilisateur de confirmer formellement tout transfert spécifique de renseignements personnels en provenance du DSQ.
P06.07,P,Protection des renseignements personnels,"Votre produit ou service technologique dispose de mécanismes permettant une gestion détaillée du consentement (ex. paramètres d'acceptation, préférences)"
P06.08,P,Protection des renseignements personnels,"Vous êtes en mesure de connaître la provenance des renseignements personnels collectés et utilisés par votre produit ou service technologique. Lorsque la collecte n'a pu être faite directement auprès de la personne concernée, votre produit ou service technologique comporte un mécanisme permettant de consigner une déclaration de l'utilisateur selon laquelle ce consentement a bien été obtenu."
P06.09,P,Protection des renseignements personnels,Votre produit ou service technologique dispose d'un mécanisme permettant de consigner l'acceptation par chacun des utilisateurs du produit ou service technologique des conditions d'utilisation.
P06.10,P,Protection des renseignements personnels,Démontrer que vous avez mis en place des mécanismes permettant de respecter le nouvel encadrement applicable à la communication de renseignements personnels sans le consentement de la personne concernée
P06.11,P,Protection des renseignements personnels,"Si votre entreprise collecte des renseignements personnels de mineurs de moins de 14 ans , disposez-vous d'un processus pour obtenir le consentement des titulaires de l'autorité parentale ?"
P06.12,P,Protection des renseignements personnels,"Votre application dispose de mécanismes permettant de consigner l'attestation d'un utilisateur (professionnel de la santé) qu'il a bien obtenu le consentement de la personne concernée pour communiquer les renseignements personnels la concernant, lorsque c'est nécessaire."
P07.01,P,Protection des renseignements personnels,Votre organisation s'assure que ses partenaires se conforment à ses exigences en matière de protection des renseignements personnels.
P07.02,P,Protection des renseignements personnels,"Vous informez les utilisateurs de votre produit ou service technologique sur l'identité des parties prenantes (fournisseur du produit ou service technologique, établissement acquéreur - client, ministère ou autre)."
P08.01,P,Protection des renseignements personnels,"Les recours à des identifiants généraux, tel le numéro d'assurance sociale, le numéro d'assurance-maladie, le numéro de permis de conduire, le certificat d’identité électronique ou autre, sont recueillis en vertu de dispositions légales ou d’ententes spécifiques convenues avec l'acquéreur. La personne concernée en est informée."
P08.02,P,Protection des renseignements personnels,"Lors d'une collecte directe de renseignements personnels auprès du patient pour le bénéfice d'un organisme public ou lorsque le patient est utilisateur du produit ou service technologique (pour un organisme public), vous l'Informez préalablement à la collecte de l'utilisation des renseignements personnels le concernant en respectant les exigences de l'article 65 de la Loi sur l’accès aux documents des organismes publics et sur la protection des renseignements personnels."
P08.03,P,Protection des renseignements personnels,"Vous êtes en mesure de connaître la provenance des renseignements personnels collectés et utilisés par votre produit ou service technologique. Lorsque la collecte n'a pu être faite directement auprès de la personne concernée, votre produit ou service technologique comporte un mécanisme permettant de consigner une confirmation d'autorisation de la part de l'utilisateur ainsi que d'une justification de l'impossibilité d'une collecte directe."
P08.04,P,Protection des renseignements personnels,"Si votre produit ou service technologique recueille de l'information sur l'équipement de l'utilisateur ou son utilisation (ex. témoin de navigation, information de localisation ou toute autre collecte automatisée d'information sur son poste ou l'utilisation de celui-ci), vous l'en informez, vous obtenez son consentement et vous en justifiez le recours."
P08.05,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant de connaître la date de la collecte (réception) des renseignements personnels.
P08.06,P,Protection des renseignements personnels,Les renseignements personnels pris en charge par votre produit ou service technologique en provenance du DSQ font l'objet d'une traçabilité et d'un marquage spécifique tout au long de leur cycle de vie.
P08.07,P,Protection des renseignements personnels,Toute communication de renseignements personnels alimentant votre produit ou service technologique ou toute communication de renseignements personnels en provenance de votre produit ou service technologique est identifiée et fait l'objet de mesures de traçabilité.
P08.08,P,Protection des renseignements personnels,L'information relative aux renseignements personnels collectés et traités par votre produit ou service technologique reste facilement disponible pour son utilisateur.
P08.09,P,Protection des renseignements personnels,Vous informez l'utilisateur sur la durée de conservation des renseignements de santé et des services sociaux au moment de la collecte.
P09.01,P,Protection des renseignements personnels,Votre produit ou service technologique permet une gestion des accès aux renseignements personnels sur la base de profils d'utilisateurs suivant le principe du moindre privilège.
P09.02,P,Protection des renseignements personnels,"Votre produit ou service technologique dispose ou bénéficie des mécanismes d'authentification des utilisateurs de manière à fournir une assurance raisonnable de l'identité de la personne, et ce, en tenant compte de la sensibilité des renseignements."
P09.03,P,Protection des renseignements personnels,"Chaque accès aux renseignements personnels répond au principe de nécessité, c’est-à-dire, le besoin de connaître pour son utilisateur dans le cadre de ses fonctions ou de son statut."
P09.04,P,Protection des renseignements personnels,Votre produit ou service technologique dispose des mécanismes permettant de journaliser l'ensemble des accès aux renseignements personnels.
P09.05,P,Protection des renseignements personnels,"Vous êtes en mesure de faire le lien entre chacun des renseignements personnels, le type d'accès, les tâches et les profils des utilisateurs de votre produit ou service technologique."
P09.06,P,Protection des renseignements personnels,L'ensemble des accès aux renseignements personnels collectés et traités par votre produit ou service technologique fait l'objet d'une journalisation dont l'exploitation est possible par des outils de gestion.
P09.07,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant de restreindre l'accès aux renseignements personnels selon le moment (ex. accès selon une plage horaire particulière).
P09.08,P,Protection des renseignements personnels,Les accès à privilèges élevés (ex. administrateur de la solution ou profil permettant de gérer les accès) font l'objet d'un contrôle renforcé.
P09.09,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant la mise à jour des renseignements personnels par les personnes autorisées avec mention des circonstances et de l'origine de cette mise à jour.
P09.10,P,Protection des renseignements personnels,"Permettre aux personnes d'identifier les types de renseignements auxquels ils demandent une restriction d'accès, les groupes à qui cette restriction d'accès s'applique et la durée de cette restriction."
P09.11,P,Protection des renseignements personnels,Vérifier si la personne qui demande l'accès à des renseignements personnels fait partie des gens restreints par rapport à l'accès à ces renseignements et si on est dans la période de restriction.
P09.12,P,Protection des renseignements personnels,"L'accès aux renseignements de santé et de services sociaux peut être refusé momentanément au patient si, de l'avis d'un professionnel de santé ou des services sociaux, il en découlerait vraisemblablement un préjudice grave pour sa santé. Dans ce cas, l’organisme documente les motifs ayant mené à cette décision et détermine, sur la recommandation du professionnel, le moment où ce droit pourra être exercé. Comment faites-vous pour faire respecter ce critère?"
P10.01,P,Protection des renseignements personnels,Préciser les rôles et responsabilités des membres du personnel participant à la protection des renseignements personnels tout au long de leur cycle de vie.
P10.02,P,Protection des renseignements personnels,La durée de conservation de chacun des renseignements personnels pris en charge par votre produit ou service technologique est déterminée et justifiée.
P10.03,P,Protection des renseignements personnels,Votre produit ou service technologique dispose des mesures de sécurité appropriées pour protéger les renseignements personnels et les renseignements personnels de santé et services sociaux tout au long de leur cycle de vie.
P10.04,P,Protection des renseignements personnels,"Votre produit ou service technologique dispose des mécanismes permettant une journalisation de toute activité relative à chacun des renseignements personnels et ce, tout au long de leur cycle de vie."
P10.05,P,Protection des renseignements personnels,Les renseignements personnels de votre produit ou service technologique sont protégés de manière adéquate lors de leur archivage.
P10.06,P,Protection des renseignements personnels,Confirmer la mise en place d’un mécanisme permettant de détruire les renseignements personnels lorsque la finalité de leur collecte est accomplie
P10.07,P,Protection des renseignements personnels,"Confirmer la mise en place d’un mécanisme permettant d'anonymiser les renseignements personnels pour les utiliser à des fins sérieuses et légitimes, sous réserve des conditions et d’un délai de conservation prévus par une loi."
P10.08,P,Protection des renseignements personnels,"La destruction d'un renseignement personnel de votre produit ou service technologique, lorsque confirmée, est irréversible et entraîne la destruction de toutes ses copies."
P10.09,P,Protection des renseignements personnels,"Confirmer la mise en place d’un mécanisme permettant de respecter le droit à la cessation de la diffusion, à la réindexation ou à la désindexation (ou droit à l'oubli)."
P10.10,P,Protection des renseignements personnels,Confirmer la mise en place d’un mécanisme permettant de respecter les nouvelles règles de communication des renseignements personnels facilitant le processus de deuil.
P11.01,P,Protection des renseignements personnels,"Les dispositions légales, réglementaires ou le programme légitimant la collecte et l'utilisation de renseignements personnels sont identifiés et les mesures sont en place pour permettre leur respect lors du déploiement et de l'opération de votre produit ou service technologique."
P11.02,P,Protection des renseignements personnels,Vous destinez chaque renseignement personnel à un usage déterminé et vous reliez cet usage aux fonctionnalités ou services offerts par votre produit ou service technologique.
P11.03,P,Protection des renseignements personnels,Vous réduisez au minimum les renseignements personnels utilisés et les personnes à qui sont divulguées les renseignements personnels.
P11.04,P,Protection des renseignements personnels,"Votre produit ou service technologique ne présente que lorsque c'est nécessaire, l'identité des personnes concernées par les renseignements personnels."
P11.05,P,Protection des renseignements personnels,Chaque renseignement personnel est utilisé pour une finalité autorisée.
P11.06,P,Protection des renseignements personnels,Les renseignements personnels recueillis par votre produit ou service technologique sont strictement nécessaires.
P11.07,P,Protection des renseignements personnels,Chaque fichier de renseignements personnels est créé ou maintenu pour une finalité autorisée.
P11.08,P,Protection des renseignements personnels,L'extraction ou la communication des renseignements personnels depuis votre produit ou service technologique ou l'une de ses composantes est contrôlée et s'appuie sur des mesures permettant d'en assurer la confidentialité
P11.09,P,Protection des renseignements personnels,"Les actions, décisions ou recommandations qui découlent des renseignements personnels recueillis sont documentées. Cette documentation est facilement accessible et communiquée à l'acquéreur et à l'utilisateur du produit ou service technologique."
P11.10,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant à l'acquéreur de savoir quand chacun des renseignements personnels a été utilisé et par qui il l'a été.
P11.11,P,Protection des renseignements personnels,"Votre produit ou service technologique dispose de mécanismes permettant de rendre. facilement accessibles à un utilisateur, tous les renseignements le concernant de façon à lui permettre de les consulter et de les corriger dans la mesure prévue par la loi."
P11.12,P,Protection des renseignements personnels,"Votre produit ou service technologique dispose de mécanismes permettant à l'acquéreur de répondre à toute demande d'une personne souhaitant consulter ou corriger les renseignements personnels la concernant, dans la mesure prévue par la loi."
P11.13,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant la propagation des renseignements personnels mis à jour ou ayant fait l'objet d'une rectification.
P11.14,P,Protection des renseignements personnels,"Il est sous-entendu que l’utilisation secondaire des données, en dehors des cas explicitement prévus par la Loi, est aussi couverte par la protection des renseignements personnels. Ainsi, vous ne pouvez pas créer, exporter, conserver et/ou distribuer des informations (même si les données sont anonymisées, s'il s'agit de résultats d’analyses statistiques ou de mégadonnées) obtenues à partir des données personnelles des patients."
P11.15,P,Protection des renseignements personnels,Chaque panorama de votre produit ou service technologique ne comporte que les renseignements personnels strictement nécessaires à la tâche à accomplir.
P11.16,P,Protection des renseignements personnels,Votre produit ou service technologique dispose de mécanismes permettant d'informer l'utilisateur de la nécessité d'une mise à jour de chacun des renseignements personnels selon les règles en vigueur ou en adéquation avec la fréquence d'utilisation.
P11.17,P,Protection des renseignements personnels,Les mécanismes de gestion des mises à jour des renseignements personnels de votre produit ou service technologique sont en mesure de tenir compte des duplicatas et des répliques de ces renseignements.
P11.18,P,Protection des renseignements personnels,"L'hébergement des renseignements personnels par toute composante de votre produit ou service technologique est fait de manière à en assurer une protection répondant aux exigences de la loi du Québec. L'hébergement des renseignements personnels par toute composante de votre produit ou service technologique (y compris les composantes redondantes et les sauvegardes) se trouve sur le territoire du Québec. À défaut, vous en informez clairement l'acquéreur et les utilisateurs et vous vous assurez qu'ils bénéficient d'un régime juridique offrant une protection adéquate."
P11.19,P,Protection des renseignements personnels,"En dehors des cas explicitement prévus par la Loi, aucun renseignement personnel n'est utilisé pour des fins d'apprentissage ou de développement de votre produit ou service technologique."
P12.01,P,Protection des renseignements personnels,Votre entreprise a-t-elle défini ce qui constitue un incident de confidentialité et dispose-t-elle d'une procédure pour traiter ces incidents?
P12.02,P,Protection des renseignements personnels,Les procédures de notification interne et externe en cas d'incident de confidentialité sont-elles clairement établies?
P12.03,P,Protection des renseignements personnels,Démontrer que vous avez mis en place des mesures pour prévenir ou limiter les conséquences d’un incident de confidentialité impliquant un renseignement personnel.
P12.04,P,Protection des renseignements personnels,"Démontrer qu’en cas d’incident de confidentialité impliquant un renseignement personnel, vous avez mis en place des mécanismes permettant de prendre les mesures raisonnables pour diminuer les risques qu’un préjudice soit causé aux personnes concernées et éviter que de nouveaux incidents de même nature se produisent."
P12.05,P,Protection des renseignements personnels,Démontrer que vous avez instauré des pratiques qui vous permettront de réagir adéquatement et rapidement en cas d’incident de confidentialité impliquant un renseignement personnel (ex. : plan de réponse aux incidents et directive au personnel).
P12.06,P,Protection des renseignements personnels,"Démontrer qu’en cas d’incident de confidentialité impliquant un renseignement personnel, vous avez mis en place des mécanismes permettant d’aviser le Bureau de certification ainsi que la Commission et la personne concernée si l’incident présente un risque de préjudice sérieux. Aussi, que vous avez mis en place un registre des incidents dont une copie devra être transmise au Bureau de certification ainsi qu’à la Commission d'accès à l'information à sa demande. Que votre entreprise dispose d'un processus défini pour la mise à jour régulière des registres des incidents de confidentialité ?"
P13.01,P,Protection des renseignements personnels,"Si votre produit ou service technologique permet de prendre en charge des renseignements provenant de plusieurs clients, assurez-vous de respecter le cloisonnement des fichiers."
P13.02,P,Protection des renseignements personnels,"Si vous créez un entrepôt de données à partir notamment de fichiers de renseignements personnels, assurez-vous de respecter le cloisonnement des fichiers qui comportent des finalités distinctes."
P14.01,P,Protection des renseignements personnels,"Votre entreprise a-t-elle dressé un inventaire complet des renseignements personnels qu'elle détient, y compris dans ses systèmes TI et autres sources d'information? L'inventaire inclut-il des détails sur les endroits où sont stockés les renseignements personnels? L'inventaire inclut-il des détails sur les types d'informations stockées par l'entreprise? L'inventaire inclut-il des détails sur les informations collectées par l'entreprise ?"
P14.02,P,Protection des renseignements personnels,"Vous tenez à jour un inventaire des renseignements personnels recueillis ou utilisés par votre produit ou service technologique, y compris ceux figurant dans les données de journalisation ou de surveillance. L’inventaire des renseignements personnels étant évolutif, il importe de le tenir à jour pour rendre compte des changements susceptibles d’être survenus au sein de votre entreprise (ex. : nouvelle collecte de renseignements personnels pour un projet) et de vous assurer de planifier adéquatement vos actions et de respecter toutes vos obligations."
P14.03,P,Protection des renseignements personnels,Existe-t-il un contrôle efficace de l'accès et du transfert des renseignements personnels en accord avec les politiques de l'entreprise?
P14.04,P,Protection des renseignements personnels,Votre entreprise a-t-elle un processus clair pour le transfert de renseignements personnels à des tiers?
P14.05,P,Protection des renseignements personnels,"En cas d'incident, votre entreprise est-elle capable d'identifier rapidement quelles données sont mises en cause?"
P15.01,P,Protection des renseignements personnels,La politique de l'entreprise en matière de conservation et de destruction des données personnelles est-elle clairement définie et documentée?
P15.02,P,Protection des renseignements personnels,Les outils de gestion des données ont-ils été sélectionnés par une personne qualifiée et sont-ils adaptés aux besoins spécifiques de l'entreprise?
P15.03,P,Protection des renseignements personnels,L'entreprise suit-elle un calendrier de conservation des données conforme à sa politique et adapté aux types de données collectées?
P15.04,P,Protection des renseignements personnels,L'entreprise révise-t-elle régulièrement sa politique de données en tenant compte des changements législatifs et des meilleures pratiques?
P16.01,P,Protection des renseignements personnels,L'entreprise a-t-elle une stratégie clairement définie pour le traitement des plaintes relatives à la protection des renseignements personnels?
P16.02,P,Protection des renseignements personnels,Des personnes spécifiques sont-elles désignées et formées pour répondre aux plaintes en matière de protection des renseignements personnels?
P16.03,P,Protection des renseignements personnels,Le processus de traitement des plaintes intègre-t-il des méthodes d'authentification adéquates pour toutes les formes de requêtes?
P16.04,P,Protection des renseignements personnels,Le processus de traitement des plaintes est-il décrit de manière simple et claire pour les utilisateurs? Est-il accessible publiquement sur le site Web de l'entreprise?
P16.05,P,Protection des renseignements personnels,Existe-t-il un registre des plaintes et celui-ci contient-il les réponses apportées par l'entreprise aux plaintes? Est-il régulièrement mis à jour?
P17.01,P,Protection des renseignements personnels,Votre entreprise a-t-elle établi un processus formel pour recevoir ainsi que pour traiter les demandes de désindexation des renseignements personnels?
P17.02,P,Protection des renseignements personnels,"Avez-vous un mécanisme en place pour vérifier si des exigences légales, réglementaires ou normatives empêchent l'agrément à une demande de désindexation?"
P17.03,P,Protection des renseignements personnels,"Votre entreprise a-t-elle développé des processus spécifiques pour la destruction, l'anonymisation et la désindexation des renseignements personnels ?"
P17.04,P,Protection des renseignements personnels,"Dans les cas où il est impossible d'appliquer le droit à la désindexation, disposez-vous d'un protocole pour informer la personne requérante des raisons de cette impossibilité?"
P17.05,P,Protection des renseignements personnels,"Lorsque c'est possible, votre entreprise utilise-t-elle des techniques d'anonymisation ou de destruction des renseignements personnels pour répondre aux demandes de désindexation?"
P18.01,P,Protection des renseignements personnels,Disposez-vous d'un processus structuré permettant aux personnes concernées de demander une copie de leurs renseignements personnels détenus par l'entreprise?
P18.02,P,Protection des renseignements personnels,Votre entreprise est capable de les communiquer dans un format technologique structuré et couramment utilisé?
P18.03,P,Protection des renseignements personnels,Les personnes responsables de répondre aux demandes de portabilité des données au sein de votre entreprise ont-elles reçu la formation nécessaire pour communiquer ces informations de manière sécuritaire et dans un délai raisonnable?
PF01,PF,Performance,"Documenter les caractéristiques techniques minimales requises pour assurer le bon fonctionnement de votre application en fonction du nombre d'utilisateurs de votre application. (ex. documents structurants, rapport de test de charge, etc.)"
PF02,PF,Performance,Documenter le temps de latence que peut supporter le PST sans perte de communication ou de données ou toute autre répercussion indésirable.
PF03,PF,Performance,Documenter la bande passante minimale garantissant un fonctionnement normal du PST.
PF04,PF,Performance,Documenter le pourcentage d'apport de trafic sur le lien d'entrée d'un point de service pour l'ensemble des utilisateurs de ce point de service que le PST peut induire dans le cadre de l'utilisation prévue ou dans sa condition normale d'utilisation.
PF05,PF,Performance,Documenter les temps de réponse qu'on doit attendre du PST dans les meilleures et pires conditions.
PF06,PF,Performance,"Documenter la gestion des paquets par le PST en précisant le taux de perte de paquets qu'il peut supporter sans perte de communication ou de données, la gestion du réordonnancement ainsi que la durée de vie des paquets."
PF07,PF,Performance,Documenter les délais de rétention et d'interruption de connexion que le PST peut supporter sans perte de communication ou de données. Il faudra préciser également si le PST supporte le reroutage de paquets sans perte de communication ou de données.
S01.01,S,Securite,Une évaluation des risques de sécurité a été réalisée lors de la conception de votre application et avant sa mise en production.
S01.02,S,Securite,"Procéder à des évaluations périodiques des risques et vulnérabilités potentiels pour la confidentialité, l'intégrité et la disponibilité des renseignements prises en charge par votre application et vos partenaires d'affaires associés."
S01.03,S,Securite,L'évaluation continue des risques est approuvée par la direction et réalisée pour réaffirmer l'évaluation initiale des risques. Une évaluation des risques est effectuée chaque fois que des changements majeurs seront proposés à votre application.
S02.01,S,Securite,Vous disposez de politique(s) de sécurité présentant: - vos objectifs; - vos principes directeurs en la matière; - les rôles et responsabilités; - la gestion des dérogations et des exceptions.
S02.02,S,Securite,"Vous avez mis en place des normes, processus et procédures techniques pour atteindre vos objectifs de sécurité."
S02.03,S,Securite,"Ces politiques sont approuvées par la direction, communiquées aux personnes intéressées et sont maintenues à jour."
S02.04,S,Securite,"Vous disposez d'un cadre réglementaire de bonnes pratiques d’utilisation des outils informatiques, ainsi qu’une procédure à suivre en cas d’incident afin de réagir correctement et de structurer une réponse efficiente à une menace."
S03.01,S,Securite,Vous avez défini les responsabilités en matière de sécurité au sein de votre organisation.
S03.02,S,Securite,Votre application et les différents actifs permettant son exploitation ont un responsable attitré chargé de leur sécurité.
S03.03,S,Securite,Les tâches incompatibles liées à votre application ont été cernées et des mesures ont été prises pour limiter l'usage inapproprié de votre application.
S03.04,S,Securite,Vous disposez d'une méthode de gestion de projet intégrant la sécurité et permettant d'identifier les risques et de les traiter adéquatement.
S03.05,S,Securite,Vous gérez les risques spécifiques liés aux appareils mobiles.
S03.06,S,Securite,Vous disposez d'une politique permettant de couvrir les risques liés au télétravail.
S04.01,S,Securite,Vous assurer que votre personnel a les compétences requises en lien avec ses fonctions.
S04.02,S,Securite,Un programme de sensibilisation et de formation à la sécurité est en place pour tous les membres du personnel de l'entreprise (y compris la direction).
S04.03,S,Securite,Les membres de votre personnel et les contractants ayant participé au développement et à l'exploitation de votre application sont informés de leurs responsabilités et des procédures à appliquer.
S04.04,S,Securite,Des sanctions appropriées sont approuvées pour les membres du personnel qui ne respectent pas les politiques et procédures de sécurité.
S04.05,S,Securite,"À l'issue de la relation d'emploi, vous rappelez aux personnes concernées les obligations qui restent valables."
S05.01,S,Securite,"Vous avez établi des conditions d'utilisation de votre application et des différents actifs permettant son exploitation, son entretien, son évolution ainsi que le soutien aux utilisateurs."
S05.02,S,Securite,Un mécanisme permet de présenter les conditions d'utilisation à toute personne lors de sa première utilisation de l'application et d'en consigner son acceptation. Ces conditions doivent pouvoir être personnalisées afin d'y intégrer l'énoncé de responsabilité de l'utilisateur vis-à-vis des renseignements personnels de santé.
S05.03,S,Securite,Ces conditions restent facilement consultables et sont représentées à l'utilisateur à intervalles adéquats.
S05.04,S,Securite,Votre application et les différents actifs permettant son exploitation sont inventoriés et ont un responsable attitré chargé de leur sécurité.
S05.05,S,Securite,"Votre application et les différents actifs permettant son exploitation sont classifiés (catégorisés) en matière de disponibilité, d'intégrité et de confidentialité."
S05.06,S,Securite,"Vous assurer qu'au terme de leur contrat, les utilisateurs employés et contractants restituent tous les actifs de votre organisation qui leur ont été confiés."
S05.07,S,Securite,L'utilisation des supports amovibles est encadrée conformément aux exigences découlant de la classification de l'information qui s'y trouve.
S05.08,S,Securite,Disposer d'une procédure formelle vous permettant de vous assurer d'une mise au rebut sécurisée des supports d'information relative à votre application.
S06.01,S,Securite,"Établir une politique de gestion des accès pour votre organisation, applicable à l'ensemble des personnes participant à la conception, à l'exploitation, à l'entretien et à l'évolution de votre application."
S06.02,S,Securite,Établir des règles de gestion des accès à votre application.
S06.03,S,Securite,"Votre application comporte des mécanismes permettant de gérer, de contrôler l'ensemble des accès et de limiter ces accès aux seules composantes, fonctionnalités et informations pour lesquelles l'utilisateur a reçu spécifiquement une autorisation."
S06.04,S,Securite,Les activités à privilèges élevés sont réservées à des comptes spécifiques consacrés et une fonction de votre application permet d'en contrôler l'octroi.
S06.05,S,Securite,Le niveau de complexité des mots de passe peut être géré (niveau de robustesse suffisant).
S06.06,S,Securite,Démontrer que votre PST rend obligatoire l'utilisation du MFA.
S06.07,S,Securite,Votre application fournit un mécanisme d’authentification utilisant des protocoles natifs sécurisés et modernes (par exemple : LDAPS). Elle permet l’utilisation de fédérations d’identités modernes (par exemple : SAML ou OpenID).
S06.08,S,Securite,Votre application permet de préserver la confidentialité des mots de passe et elle ne capture ou n'entrepose en aucun cas les mots de passe utilisés lorsqu’elle fonctionne en mode intégré avec une source d’autorité externe (par exemple un établissement).
S06.09,S,Securite,"Lorsqu'il est géré par votre application, chaque utilisateur doit pouvoir changer son mot de passe."
S06.10,S,Securite,Les communications entre les différentes composantes de votre application doivent être authentifiées et celles-ci doivent avoir le minimum de privilèges requis.
S06.11,S,Securite,"Votre application et les systèmes permettant son fonctionnement ne comportent aucun mot de passe dans des scripts automatisés, des macros, le code source ou toute autre utilisation pouvant rendre complexes les mises à jour des mots de passe. Dans le cas contraire, une demande d'exception doit être effectuée auprès de Santé Québec."
S06.12,S,Securite,Votre application dispose de fonctionnalités permettant de faciliter la revue des accès.
S06.13,S,Securite,La gestion des accès repose sur des profils basés sur les fonctionnalités de votre application. Ces profils sont paramétrés de façon à pouvoir attribuer aux utilisateurs les seuls accès dont ils ont besoin.
S06.14,S,Securite,Votre application comporte des fonctionnalités permettant à son acquéreur d'en gérer aisément les accès.
S06.15,S,Securite,Votre application comporte une fonctionnalité permettant à l'utilisation de facilement se déconnecter.
S06.16,S,Securite,Votre application permet de désactiver un identifiant automatiquement après un maximum de cinq tentatives de connexion échouées. Une alerte doit pouvoir être configurée comme prévu au critère S10.03.
S06.17,S,Securite,"En cas d'échec d'une authentification à votre application, seul un message générique doit s'afficher sans mention des champs invalides."
S06.18,S,Securite,"Votre application n'utilise aucun compte générique. À défaut, une demande d'exception doit être demandée auprès de Santé Québec."
S06.19,S,Securite,Votre application dispose d'une fonction permettant la déconnexion automatique d'une session après un délai d'inactivité (configurable).
S06.20,S,Securite,Restreindre l'accès au code source de votre application.
S06.21,S,Securite,L'authentification aux services externes critiques de votre fichier PST est protégée par un test CAPTCHA. (facultatif si l'AMF est implantée)
S06.22,S,Securite,Toute connexion à un service ou toute modification au profil d’un utilisateur ou citoyen doit être signalée au titulaire.
S06.23,S,Securite,"L'infrastructure qui héberge votre fichier PST permet la surveillance et la détection d’attaques de type bourrage de justificatifs (credential stuffing) ou par dictionnaire, qui permet d'alerter et de mitiger toute tentative de connexion anormale."
S06.24,S,Securite,Le compte utilisateur des intervenants doit provenir de l'annuaire centralisé de Santé Québec.
S06.25,S,Securite,Journaliser les accès au PST exposés sur Internet.
S06.26,S,Securite,S'assurer que votre PST permet aux propriétaire de la donnée d'y accéder sans contrainte.
S07.01,S,Securite,L'ensemble des données sensibles dont les renseignements personnels et les renseignements personnels de santé font l'objet d'un chiffrement (lors de leur entreposage et de leurs communications).
S07.02,S,Securite,Toutes les communications entre les composantes de votre application sont chiffrées et font l'objet d'une authentification de part et d'autre.
S08.01,S,Securite,"La gestion des clés utilisées par votre application et ses composantes fait l'objet d'une documentation formelle, et ce, tout au long de leur cycle de vie."
S08.02,S,Securite,Les locaux où sont hébergées les différentes composantes permettant à votre application de fonctionner font l'objet d'un contrôle d'accès et de mesures de protection physiques appropriées.
S08.03,S,Securite,Les locaux d'où interviennent les développeurs de votre solution et le personnel chargé de sa maintenance et du soutien à l'utilisateur font l'objet d'un contrôle d'accès et de mesures de protection adéquates.
S08.04,S,Securite,S'assurer que le matériel hébergeant votre application fait l'objet d'un entretien approprié permettant de garantir sa disponibilité et son intégrité.
